"ID","Thinking.a.lot.about.COVID.19","Easily.distracted","Forgetful.in.daily.activities","Easily.switching.tasks","More.focus","More.disorganization","Having.racing.thoughts","Zoning.out","Able.to.sustain.attention.on.tasks","Able.to.plan.activities.or.work","Able.to.review.work","ExpectMoreSame"
"EF1001C1","very slightly or not at all","moderately","moderately","very slightly or not at all","moderately","slightly","very slightly or not at all","moderately","moderately","slightly","moderately","less than 1 month"
"EF1001C2","slightly","quite a bit","very slightly or not at all","quite a bit","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","moderately","moderately","never"
"EF1001C3","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","moderately","moderately","2-3 months"
"EF1001C4","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","extremely","quite a bit","slightly","slightly",NA
"EF1003C1","quite a bit","moderately","slightly","moderately","quite a bit","moderately","very slightly or not at all","slightly","slightly","slightly","very slightly or not at all","6-12 months"
"EF1003C2","moderately","slightly","very slightly or not at all","slightly","slightly","moderately","very slightly or not at all","very slightly or not at all","moderately","slightly","slightly","never"
"EF1008C1","slightly","quite a bit","quite a bit","slightly","slightly","moderately","moderately","moderately","very slightly or not at all","slightly","slightly",NA
"EF1008C2","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","very slightly or not at all","very slightly or not at all","slightly","6-12 months"
"EF1009C1","slightly","moderately","moderately","moderately","extremely","moderately","very slightly or not at all","slightly","extremely","extremely","extremely","6-12 months"
"EF1009C2","very slightly or not at all","moderately","very slightly or not at all","moderately","moderately","moderately","very slightly or not at all","slightly","quite a bit","quite a bit","quite a bit","6-12 months"
"EF1011C1","very slightly or not at all","moderately","very slightly or not at all","moderately","very slightly or not at all","quite a bit","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","6-12 months"
"EF1011C2","slightly","moderately","moderately","slightly","very slightly or not at all","moderately","slightly","moderately","very slightly or not at all","slightly","slightly","6-12 months"
"EF1012C1","moderately","extremely","moderately","quite a bit","slightly","extremely","extremely","moderately","slightly","very slightly or not at all","slightly","6-12 months"
"EF1012C2","moderately","moderately","quite a bit","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","slightly","very slightly or not at all","very slightly or not at all",NA
"EF1012C3","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","extremely","slightly","very slightly or not at all","very slightly or not at all","quite a bit","quite a bit","very slightly or not at all","3-6 months"
"EF1014C1","slightly","moderately","moderately","slightly","slightly","moderately","slightly","slightly","moderately","moderately","moderately","6-12 months"
"EF1014C2","moderately","quite a bit","moderately","quite a bit","slightly","quite a bit","slightly","moderately","slightly","slightly","slightly","3-6 months"
"EF1016C1","extremely","quite a bit","moderately","quite a bit","very slightly or not at all","slightly","extremely","quite a bit","moderately","extremely","quite a bit","3-6 months"
"EF1017C1","very slightly or not at all","slightly","slightly","moderately","quite a bit","very slightly or not at all","very slightly or not at all","slightly","quite a bit","quite a bit","quite a bit","less than 1 month"
"EF1018C1","quite a bit","moderately","quite a bit","quite a bit","slightly","moderately","moderately","moderately","slightly","moderately","slightly",NA
"EF1018C2","slightly","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","very slightly or not at all","slightly","slightly","slightly","very slightly or not at all",NA
"EF1019C1","slightly","moderately","moderately","slightly","very slightly or not at all","moderately","slightly","quite a bit","slightly","slightly","slightly","6-12 months"
"EF1020C1","very slightly or not at all","moderately","moderately","moderately","moderately","very slightly or not at all","moderately","quite a bit","slightly",NA,"moderately","never"
"EF1021C1","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","moderately","moderately","moderately","slightly","moderately","moderately","moderately","never"
"EF1022C1","moderately","extremely","extremely","slightly","very slightly or not at all","quite a bit","moderately","extremely","slightly","slightly","very slightly or not at all",NA
"EF1023C1","very slightly or not at all","quite a bit","moderately","very slightly or not at all","moderately","very slightly or not at all","slightly","slightly","moderately","moderately","moderately","6-12 months"
"EF1026C2","slightly","quite a bit","slightly","slightly","moderately","slightly","extremely","extremely","slightly","moderately","moderately","3-6 months"
"EF1028C1","slightly","moderately","moderately","slightly","very slightly or not at all","slightly","slightly","moderately","slightly","slightly","slightly","2-3 months"
"EF1028C2","slightly","quite a bit","moderately","quite a bit","very slightly or not at all","moderately","extremely","quite a bit","slightly","moderately","moderately","2-3 months"
"EF1028C3","slightly","moderately","moderately","slightly","moderately","moderately","very slightly or not at all","moderately","slightly","slightly","moderately","3-6 months"
"EF1029C1","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all",NA,NA,NA,"2-3 months"
