"ID","Sex","DOC","County","CountyEthnicDensity","ChildRaceOrEthnicity","ChildLatinoHeritage","MaternalGrandmotherPlaceOfBirth","MaternalGrandfatherPlaceOfBirth","ParternalGrandmotherPlaceOfBirth","ParternalGrandfatherPlaceOfBirth","MotherEducationLevel","FatherEducationLevel","MotherEdu","FatherEdu","ParentMeanEdu","SESFormIncome"
"EF1001C1","M","11/6/16","Bastrop",0.51,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,95000
"EF1001C2","M","11/5/16","Bastrop",0.51,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,95000
"EF1001C3","M","11/5/16","Bastrop",0.51,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,95000
"EF1001C4","M","11/6/16","Bastrop",0.51,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,95000
"EF1003C1","M","11/13/16","Travis",0.08,"Black, not of Hispanic Origin","N","N/A","N/A","N/A","N/A","N/A","3",20,16,18,95000
"EF1003C2","M","11/19/16","Travis",0.08,"Black, not of Hispanic Origin","N","N/A","N/A","N/A","N/A","N/A","3",20,16,18,95000
"EF1008C1","M","12/10/16","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,99000
"EF1008C2","M","12/10/16","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,99000
"EF1009C1","F","12/11/16","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,150000
"EF1009C2","M","12/11/16","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,150000
"EF1011C1","F","12/11/16","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","3",13,14,13.5,66560
"EF1011C2","F","12/11/16","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","3",13,14,13.5,66560
"EF1012C1","M","12/18/16","Blanco",0.19,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",18,18,18,175000
"EF1012C2","F","12/18/16","Blanco",0.19,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",18,18,18,175000
"EF1012C3","F","12/18/16","Blanco",0.19,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",18,18,18,175000
"EF1014C1","M","12/21/16","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,20,19,1e+05
"EF1014C2","M","12/21/16","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,20,19,1e+05
"EF1016C1","F","1/7/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",22,20,21,275000
"EF1017C1","M","1/8/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","N/A",18,18,18,70000
"EF1018C1","F","2/26/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,49000
"EF1018C2","F","2/26/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,49000
"EF1019C1","M","1/22/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,20,19,2e+05
"EF1020C1","F","1/14/17","Travis",0.02,"Mixed","N","N/A","N/A","N/A","N/A","3","N/A",16,20,18,180000
